,USD/JPY_rate,GBP/USD_rate,L_position,S_position,LS_ratio,LS_ratio_1,LS_ratio_2
2024-04-29 22:56:02.895286,156.74200000000002,1.25485,1.25485,156.74200000000002,1.0,,
2024-04-29 22:56:03.591423,156.74200000000002,1.25485,1.25485,156.74200000000002,1.0,,
2024-04-29 22:56:04.202788,156.748,1.25485,1.25485,156.74200000000002,1.0000382794656184,,
2024-04-29 22:56:04.817146,156.74599999999998,1.2548400000000002,1.25485,156.74200000000002,1.0000334889905915,,
2024-04-29 22:56:05.457443,156.74849999999998,1.2548400000000002,1.25485,156.74200000000002,1.0000494388950387,,
2024-04-29 22:56:06.050845,156.74849999999998,1.25487,1.25485,156.74200000000002,1.0000255308542325,,
2024-04-29 22:56:06.635308,156.74599999999998,1.2548650000000001,1.25485,156.74200000000002,1.0000135658616296,,
2024-04-29 22:56:07.269586,156.745,1.2548599999999999,1.25485,156.74200000000002,1.0000111705638204,,
2024-04-29 22:56:07.856018,156.74200000000002,1.25488,1.25485,156.74200000000002,0.9999760933316334,,
2024-04-29 22:56:08.743643,156.74450000000002,1.25488,1.25485,156.74200000000002,0.9999920427276684,,
2024-04-29 22:56:09.510592,156.744,1.2548650000000001,1.25485,156.74200000000002,1.0000008061922812,,
2024-04-29 22:56:10.106997,156.744,1.2548650000000001,1.25485,156.74200000000002,1.0000008061922812,,
2024-04-29 22:56:10.695423,156.744,1.2548650000000001,1.25485,156.74200000000002,1.0000008061922812,,
2024-04-29 22:56:11.327732,156.744,1.2548650000000001,1.25485,156.74200000000002,1.0000008061922812,,
2024-04-29 22:56:11.968020,156.744,1.2548650000000001,1.25485,156.74200000000002,1.0000008061922812,,
2024-04-29 22:56:12.572403,156.7415,1.25487,1.25485,156.74200000000002,0.9999808721894544,,
2024-04-29 22:56:13.196780,156.7455,1.25487,1.25485,156.74200000000002,1.0000063914264705,,
2024-04-29 22:56:13.807101,156.74450000000002,1.25487,1.25485,156.74200000000002,1.0000000116172165,,
2024-04-29 22:56:14.415474,156.7455,1.25487,1.25485,156.74200000000002,1.0000063914264705,,
2024-04-29 22:56:15.052777,156.7465,1.25487,1.25485,156.74200000000002,1.0000127712357245,,
2024-04-29 22:56:16.354331,156.75,1.2548499999999998,1.25485,156.74200000000002,1.0000510392874917,,
2024-04-29 22:56:17.024497,156.749,1.2548499999999998,1.25485,156.74200000000002,1.000044659376555,,
2024-04-29 22:56:17.849291,156.7495,1.2548499999999998,1.25485,156.74200000000002,1.0000478493320233,,
2024-04-29 22:56:18.485588,156.7495,1.2548499999999998,1.25485,156.74200000000002,1.0000478493320233,,
2024-04-29 22:56:19.121887,156.7485,1.2548499999999998,1.25485,156.74200000000002,1.0000414694210868,,
2024-04-29 22:56:19.771183,156.7485,1.2548499999999998,1.25485,156.74200000000002,1.0000414694210868,,
2024-04-29 22:56:20.398472,156.7485,1.2548599999999999,1.25485,156.74200000000002,1.0000335000741523,,
2024-04-29 22:56:21.275130,156.749,1.2548599999999999,1.25485,156.74200000000002,1.0000366900041997,,
2024-04-29 22:56:21.910428,156.753,1.2548599999999999,1.25485,156.74200000000002,1.000062209444579,,
2024-04-29 22:56:22.531767,156.754,1.2548599999999999,1.25485,156.74200000000002,1.000068589304674,,
2024-04-29 22:56:23.436348,156.7495,1.2548599999999999,1.25485,156.74200000000002,1.0000398799342471,,
2024-04-29 22:56:24.032752,156.749,1.2548599999999999,1.25485,156.74200000000002,1.0000366900041997,,
2024-04-29 22:56:24.635155,156.749,1.2548599999999999,1.25485,156.74200000000002,1.0000366900041997,,
2024-04-29 22:56:25.268447,156.75150000000002,1.2548599999999999,1.25485,156.74200000000002,1.000052639654437,,
2024-04-29 22:56:25.876829,156.75150000000002,1.2548599999999999,1.25485,156.74200000000002,1.000052639654437,,
2024-04-29 22:56:26.715623,156.752,1.2548599999999999,1.25485,156.74200000000002,1.0000558295844844,,
2024-04-29 22:56:27.351876,156.7535,1.2548599999999999,1.25485,156.74200000000002,1.0000653993746265,,
2024-04-29 22:56:28.384115,156.7535,1.25487,1.25485,156.74200000000002,1.0000574299005027,,
2024-04-29 22:56:29.021410,156.7495,1.25488,1.25485,156.74200000000002,1.0000239415197385,,
2024-04-29 22:56:29.648733,156.7495,1.25489,1.25485,156.74200000000002,1.0000159725029998,,
2024-04-29 22:56:30.287025,156.7495,1.25488,1.25485,156.74200000000002,1.0000239415197385,,
2024-04-29 22:56:30.896421,156.7515,1.25488,1.25485,156.74200000000002,1.0000367010365665,,
2024-04-29 22:56:31.532694,156.7505,1.25488,1.25485,156.74200000000002,1.0000303212781525,,
2024-04-29 22:56:32.163008,156.7505,1.25488,1.25485,156.74200000000002,1.0000303212781525,,
2024-04-29 22:56:32.776369,156.7515,1.25488,1.25485,156.74200000000002,1.0000367010365665,,
2024-04-29 22:56:33.449623,156.7515,1.25489,1.25485,156.74200000000002,1.0000287319181493,,
2024-04-29 22:56:34.158707,156.7515,1.25488,1.25485,156.74200000000002,1.0000367010365665,,
2024-04-29 22:56:34.915646,156.7515,1.25488,1.25485,156.74200000000002,1.0000367010365665,,
2024-04-29 22:56:35.698558,156.7515,1.25488,1.25485,156.74200000000002,1.0000367010365665,,
2024-04-29 22:56:36.302938,156.7515,1.25488,1.25485,156.74200000000002,1.0000367010365665,,
2024-04-29 22:56:37.134711,156.7505,1.25491,1.25485,156.74200000000002,1.0000064144564373,,
2024-04-29 22:56:37.744082,156.723,1.25491,1.25485,156.74200000000002,0.9998309752942176,,
2024-04-29 22:56:38.361431,156.72500000000002,1.2549000000000001,1.25485,156.74200000000002,0.999851702023224,,
2024-04-29 22:56:39.115415,156.72500000000002,1.25494,1.25485,156.74200000000002,0.9998198327162605,,
2024-04-29 22:56:39.735755,156.73700000000002,1.25491,1.25485,156.74200000000002,0.9999202897768024,,
2024-04-29 22:56:40.353108,156.72500000000002,1.2549350000000001,1.25485,156.74200000000002,0.9998238162685269,,
2024-04-29 22:56:41.207819,156.7245,1.25494,1.25485,156.74200000000002,0.9998166429895649,,
2024-04-29 22:56:41.982746,156.7245,1.25494,1.25485,156.74200000000002,0.9998166429895649,,
2024-04-29 22:56:42.608073,156.7245,1.25494,1.25485,156.74200000000002,0.9998166429895649,,
2024-04-29 22:56:43.239384,156.724,1.25494,1.25485,156.74200000000002,0.9998134532628693,,
2024-04-29 22:56:43.854739,156.7235,1.25494,1.25485,156.74200000000002,0.9998102635361737,,
2024-04-29 22:56:44.473086,156.723,1.2549549999999998,1.25485,156.74200000000002,0.9997951234956368,,
2024-04-29 22:56:45.096418,156.723,1.2549549999999998,1.25485,156.74200000000002,0.9997951234956368,,
2024-04-29 22:56:45.754658,156.722,1.2549350000000001,1.25485,156.74200000000002,0.9998046778321011,,
2024-04-29 22:56:46.376993,156.7195,1.25494,1.25485,156.74200000000002,0.9997847457226096,,
2024-04-29 22:56:47.002321,156.72000000000003,1.25494,1.25485,156.74200000000002,0.9997879354493052,,
2024-04-29 22:56:47.608700,156.719,1.2549350000000001,1.25485,156.74200000000002,0.9997855393956754,,
2024-04-29 22:56:48.239051,156.719,1.25494,1.25485,156.74200000000002,0.9997815559959138,,
2024-04-29 22:56:48.909269,156.721,1.25494,1.25485,156.74200000000002,0.999794314902696,,
2024-04-29 22:56:49.539141,156.72050000000002,1.2549299999999999,1.25485,156.74200000000002,0.9997990920835189,,
2024-04-29 22:56:50.193426,156.71949999999998,1.2549299999999999,1.25485,156.74200000000002,0.9997927125792925,,
2024-04-29 22:56:50.827694,156.71949999999998,1.2549299999999999,1.25485,156.74200000000002,0.9997927125792925,,
2024-04-29 22:56:51.499907,156.72050000000002,1.2549,1.25485,156.74200000000002,0.9998229935679099,,
2024-04-29 22:56:52.264851,156.725,1.2549,1.25485,156.74200000000002,0.999851702023224,,
2024-04-29 22:56:52.868237,156.72500000000002,1.2549299999999999,1.25485,156.74200000000002,0.9998277998525369,,
2024-04-29 22:56:53.499574,156.736,1.2549299999999999,1.25485,156.74200000000002,0.999897974399025,,
2024-04-29 22:56:54.117895,156.73700000000002,1.25489,1.25485,156.74200000000002,0.9999362261583143,,
2024-04-29 22:56:54.737263,156.738,1.25489,1.25485,156.74200000000002,0.9999426058658889,,
2024-04-29 22:56:55.361569,156.738,1.25489,1.25485,156.74200000000002,0.9999426058658889,,
2024-04-29 22:56:55.968944,156.728,1.25492,1.25485,156.74200000000002,0.9998549057809738,,
2024-04-29 22:56:56.579312,156.724,1.25492,1.25485,156.74200000000002,0.9998293875607251,,
2024-04-29 22:56:57.214645,156.728,1.25494,1.25485,156.74200000000002,0.9998389710764336,,
2024-04-29 22:56:57.978569,156.73,1.25494,1.25485,156.74200000000002,0.9998517299832157,,
2024-04-29 22:56:58.921054,156.73,1.25494,1.25485,156.74200000000002,0.9998517299832157,,
2024-04-29 22:56:59.598238,156.73,1.254945,1.25485,156.74200000000002,0.9998477463356057,,
2024-04-29 22:57:00.245506,156.73,1.25494,1.25485,156.74200000000002,0.9998517299832157,,
2024-04-29 22:57:00.898759,156.7295,1.25494,1.25485,156.74200000000002,0.9998485402565201,,
2024-04-29 22:57:01.505841,156.73,1.2549,1.25485,156.74200000000002,0.9998836003069064,,
2024-04-29 22:57:02.157099,156.73000000000002,1.25494,1.25485,156.74200000000002,0.9998517299832158,,
2024-04-29 22:57:02.767466,156.72899999999998,1.25498,1.25485,156.74200000000002,0.9998134824410733,,
2024-04-29 22:57:03.391797,156.73000000000002,1.25499,1.25485,156.74200000000002,0.9998118949355268,,
2024-04-29 22:57:04.023147,156.73000000000002,1.255,1.25485,156.74200000000002,0.9998039283068821,,
2024-04-29 22:57:04.644446,156.73000000000002,1.25501,1.25485,156.74200000000002,0.9997959618051944,,
2024-04-29 22:57:05.290718,156.73000000000002,1.254995,1.25485,156.74200000000002,0.9998079116053344,,
2024-04-29 22:57:05.907106,156.728,1.255,1.25485,156.74200000000002,0.9997911700100874,,
2024-04-29 22:57:06.539382,156.73250000000002,1.255,1.25485,156.74200000000002,0.9998198761778753,,
2024-04-29 22:57:07.209586,156.74450000000002,1.255,1.25485,156.74200000000002,0.9998964259586428,,
2024-04-29 22:57:07.824941,156.74349999999998,1.255,1.25485,156.74200000000002,0.9998900468102453,,
2024-04-29 22:57:08.426331,156.7385,1.255,1.25485,156.74200000000002,0.9998581510682589,,
2024-04-29 22:57:09.045676,156.739,1.255,1.25485,156.74200000000002,0.9998613406424576,,
2024-04-29 22:57:09.666016,156.73950000000002,1.255,1.25485,156.74200000000002,0.9998645302166563,,
2024-04-29 22:57:10.289349,156.7405,1.255,1.25485,156.74200000000002,0.9998709093650535,,
2024-04-29 22:57:10.970527,156.74349999999998,1.255,1.25485,156.74200000000002,0.9998900468102453,,
2024-04-29 22:57:11.722517,156.7425,1.255,1.25485,156.74200000000002,0.9998836676618481,,
2024-04-29 22:57:12.373775,156.7425,1.255,1.25485,156.74200000000002,0.9998836676618481,,
2024-04-29 22:57:13.004113,156.7425,1.255,1.25485,156.74200000000002,0.9998836676618481,,
2024-04-29 22:57:13.809933,156.74349999999998,1.255,1.25485,156.74200000000002,0.9998900468102453,,
2024-04-29 22:57:14.439276,156.74349999999998,1.255,1.25485,156.74200000000002,0.9998900468102453,,
2024-04-29 22:57:15.069565,156.74349999999998,1.255,1.25485,156.74200000000002,0.9998900468102453,,
2024-04-29 22:57:15.716834,156.7425,1.255,1.25485,156.74200000000002,0.9998836676618481,,
2024-04-29 22:57:16.352135,156.73950000000002,1.255,1.25485,156.74200000000002,0.9998645302166563,,
2024-04-29 22:57:17.066224,156.742,1.255,1.25485,156.74200000000002,0.9998804780876495,,
2024-04-29 22:57:17.695577,156.73950000000002,1.255,1.25485,156.74200000000002,0.9998645302166563,,
2024-04-29 22:57:18.333872,156.74349999999998,1.25499,1.25485,156.74200000000002,0.9998980141250987,,
2024-04-29 22:57:18.950186,156.7425,1.254975,1.25485,156.74200000000002,0.9999035860599766,,
2024-04-29 22:57:19.572521,156.7415,1.2549649999999999,1.25485,156.74200000000002,0.9999051743151248,,
2024-04-29 22:57:20.194857,156.7425,1.25497,1.25485,156.74200000000002,0.9999075698348321,,
2024-04-29 22:57:20.808216,156.74349999999998,1.25497,1.25485,156.74200000000002,0.9999139491357226,,
2024-04-29 22:57:21.464461,156.74349999999998,1.25497,1.25485,156.74200000000002,0.9999139491357226,,
2024-04-29 22:57:22.474759,156.736,1.25497,1.25485,156.74200000000002,0.9998661043790437,,
2024-04-29 22:57:23.716473,156.74349999999998,1.25497,1.25485,156.74200000000002,0.9999139491357226,,
2024-04-29 22:57:24.331828,156.73950000000002,1.2549700000000001,1.25485,156.74200000000002,0.9998884319321605,,
2024-04-29 22:57:24.961111,156.74099999999999,1.2549649999999999,1.25485,156.74200000000002,0.9999019846519714,,
2024-04-29 22:57:25.592421,156.74099999999999,1.2549649999999999,1.25485,156.74200000000002,0.9999019846519714,,
2024-04-29 22:57:26.216788,156.74099999999999,1.25496,1.25485,156.74200000000002,0.9999059684521905,,
2024-04-29 22:57:26.888964,156.747,1.25496,1.25485,156.74200000000002,0.9999442445625301,,
2024-04-29 22:57:27.564200,156.7355,1.25495,1.25485,156.74200000000002,0.9998788494338012,,
2024-04-29 22:57:28.188512,156.7345,1.254945,1.25485,156.74200000000002,0.9998764537614879,,
2024-04-29 22:57:28.805835,156.739,1.254945,1.25485,156.74200000000002,0.99990516118737,,
2024-04-29 22:57:29.423176,156.7345,1.254945,1.25485,156.74200000000002,0.9998764537614879,,
2024-04-29 22:57:30.037533,156.7405,1.254945,1.25485,156.74200000000002,0.9999147303293308,,
2024-04-29 22:57:30.673831,156.7365,1.25495,1.25485,156.74200000000002,0.999885228836358,,
2024-04-29 22:57:31.281206,156.7365,1.254975,1.25485,156.74200000000002,0.9998653104071298,,
2024-04-29 22:57:31.922005,156.7405,1.2549649999999999,1.25485,156.74200000000002,0.9998987949888182,,
2024-04-29 22:57:32.543381,156.7365,1.25498,1.25485,156.74200000000002,0.9998613268165131,,
2024-04-29 22:57:33.163683,156.7365,1.25497,1.25485,156.74200000000002,0.9998692940294889,,
2024-04-29 22:57:33.804968,156.7365,1.2549649999999999,1.25485,156.74200000000002,0.999873277683591,,
2024-04-29 22:57:34.547994,156.7365,1.2549649999999999,1.25485,156.74200000000002,0.999873277683591,,
2024-04-29 22:57:35.675998,156.7365,1.25498,1.25485,156.74200000000002,0.9998613268165131,,
2024-04-29 22:57:36.344177,156.7365,1.2549700000000001,1.25485,156.74200000000002,0.9998692940294888,,
2024-04-29 22:57:36.973494,156.74,1.2551,1.25485,156.74200000000002,0.99978805540397,,
2024-04-29 22:57:37.620817,156.7365,1.254975,1.25485,156.74200000000002,0.9998653104071298,,
2024-04-29 22:57:38.249082,156.7355,1.2549649999999999,1.25485,156.74200000000002,0.9998668983572842,,
2024-04-29 22:57:38.969156,156.7365,1.25498,1.25485,156.74200000000002,0.9998613268165131,,
2024-04-29 22:57:40.208868,156.7385,1.25498,1.25485,156.74200000000002,0.9998740853166304,,
2024-04-29 22:57:40.831177,156.7405,1.25498,1.25485,156.74200000000002,0.9998868438167478,,
2024-04-29 22:57:41.469471,156.739,1.25498,1.25485,156.74200000000002,0.9998772749416597,,
2024-04-29 22:57:42.144664,156.739,1.2549649999999999,1.25485,156.74200000000002,0.9998892259993579,,
2024-04-29 22:57:42.838807,156.743,1.25497,1.25485,156.74200000000002,0.9999107594852774,,
2024-04-29 22:57:43.476103,156.743,1.25497,1.25485,156.74200000000002,0.9999107594852774,,
2024-04-29 22:57:44.108429,156.746,1.25497,1.25485,156.74200000000002,0.999929897387949,,
2024-04-29 22:57:45.080811,156.747,1.25497,1.25485,156.74200000000002,0.9999362766888397,,
2024-04-29 22:57:45.727084,156.745,1.25497,1.25485,156.74200000000002,0.9999235180870585,,
2024-04-29 22:57:46.708459,156.745,1.25497,1.25485,156.74200000000002,0.9999235180870585,,
