,pair,max,min,mean,vol,fd,correlation_with_BTC/USD,correlation_with_EUR/USD
2024-04-29 17:49:21.153152,EUR/CHF,0.97635,0.9760249999999999,0.9761569491525423,0.000332938263956715,0.0,,
2024-04-29 17:55:21.153152,EUR/CHF,0.97635,0.976,0.976143,0.00035855402333477007,11.018773826034097,,
2024-04-29 18:01:21.153152,EUR/CHF,0.97675,0.97592,0.9761724576271188,0.0008502595965651013,8.481187373494683,,
2024-04-29 18:07:21.153152,EUR/CHF,0.97635,0.97605,0.9761616101694914,0.0003073261608269852,4.869101174188113,,
2024-04-29 18:13:21.153152,EUR/CHF,0.97635,0.97605,0.9761388135593221,0.0003073333380794271,14.165189587568873,,
2024-04-29 18:19:21.153152,EUR/CHF,0.97645,0.976155,0.9762789166666668,0.0003021677462904464,9.110628926555714,,
2024-04-29 18:25:21.153152,EUR/CHF,0.97645,0.97615,0.97627025,0.0003072919614216227,6.221709706215649,,
2024-04-29 18:31:21.153152,EUR/CHF,0.97645,0.97615,0.9762925,0.00030728495814530784,7.810161999999897,,
2024-04-29 18:37:21.153152,EUR/CHF,0.97645,0.97615,0.9762665178571428,0.00030729313615974796,6.1397950555482685,,
2024-04-29 18:43:21.153152,EUR/CHF,0.97635,0.97615,0.976234375,0.00020486883592896326,8.428434270829856,,
2024-04-29 18:49:21.153152,EUR/CHF,0.97655,0.97615,0.9762893750000001,0.0004097145889763134,9.811155468748115,,
2024-04-29 18:55:21.153152,EUR/CHF,0.97645,0.9762500000000001,0.9763384210526316,0.00020484700354652595,11.471400156246995,,
2024-04-29 19:01:21.153152,EUR/CHF,0.97645,0.97624,0.9762976785714285,0.00021509832975053964,12.273968721804238,,
2024-04-29 19:07:21.153152,EUR/CHF,0.97645,0.97615,0.9762541964285715,0.0003072970145455633,15.713743588428432,,
2024-04-29 19:13:21.153152,EUR/CHF,0.97645,0.976145,0.9762274074074073,0.00031242720465101076,8.983672496094567,,
2024-04-29 19:19:21.153152,EUR/CHF,0.97635,0.97601,0.9761403703703704,0.0003483105609811046,11.57916789885642,,
2024-04-29 19:25:21.153152,EUR/CHF,0.97615,0.97595,0.9760562727272726,0.00020490621861498094,9.359463551193477,,
2024-04-29 19:31:21.153152,EUR/CHF,0.9762500000000001,0.97605,0.9761054545454544,0.00020489589425890824,25.426265904538795,,
2024-04-29 19:37:21.153152,EUR/CHF,0.9762500000000001,0.97601,0.9760678703703702,0.00024588454070202073,20.579556666655318,,
2024-04-29 19:43:21.153152,EUR/CHF,0.9762500000000001,0.976025,0.9760916071428571,0.0002305111511599142,21.473493148146215,,
2024-04-29 19:49:21.153152,EUR/CHF,0.9762500000000001,0.97595,0.9760640350877192,0.0003073568835810213,12.522893804225111,-0.1017003894345148,-0.0014655087269861305
2024-04-29 19:55:21.153152,EUR/CHF,0.97615,0.9759549999999999,0.9759927358490568,0.00019979656900870026,10.044282890989908,-0.1738384816818317,0.13164339357213542
2024-04-29 20:01:21.153152,EUR/CHF,0.97615,0.97584,0.9759425892857143,0.00031764163527980507,13.077818296735206,-0.24372798898720863,0.35000533104466536
2024-04-29 20:07:21.153152,EUR/CHF,0.97615,0.9758100000000001,0.975935350877193,0.0003483837322772417,7.8519859175964575,-0.2569437020084985,0.5469387755274169
2024-04-29 20:13:21.153152,EUR/CHF,0.97615,0.97593,0.9759900877192982,0.00022541212535682182,6.053930518812563,-0.26931753344796394,0.6399436835379111
2024-04-29 20:19:21.153152,EUR/CHF,0.97602,0.9759450000000001,0.9759825454545454,7.684563658359935e-05,23.423762105305403,-0.3076395564035101,0.7465287002818589
2024-04-29 20:25:21.153152,EUR/CHF,0.97615,0.97575,0.9759010416666666,0.00040987762377712664,24.52969464244814,-0.21644357032465694,0.7658745156187455
2024-04-29 20:31:21.153152,EUR/CHF,0.97605,0.97585,0.9759167272727273,0.000204935517970773,8.783109375002049,-0.13950474738157517,0.7363270130515019
2024-04-29 20:37:21.153152,EUR/CHF,0.97615,0.97595,0.9760051923076922,0.00020491694263131196,12.345346600005582,0.03682996270717089,0.7084738818351476
2024-04-29 20:43:21.153152,EUR/CHF,0.97628,0.976035,0.9761094444444445,0.00025099644450166466,13.18602933281024,0.1037927012148041,0.6850435663830585
2024-04-29 20:49:21.153152,EUR/CHF,0.976405,0.976105,0.9762632727272729,0.00030729415761169827,12.563258972036497,0.3067626534691219,0.6073017907694784
2024-04-29 20:55:21.153152,EUR/CHF,0.97665,0.97612,0.9763813888888889,0.0005428206703152797,5.219017495711126,0.5776021605426571,0.46157629004597506
2024-04-29 21:01:21.153152,EUR/CHF,0.97645,0.9759599999999999,0.9762306862745097,0.0005019305445826937,2.413696001796592,0.7022264556666887,0.39099963333924914
2024-04-29 21:07:21.153152,EUR/CHF,0.97645,0.97597,0.9762308999999999,0.0004916869564362652,3.627659948146548,0.8059258545759961,0.35245967902085495
2024-04-29 21:13:21.153152,EUR/CHF,0.97645,0.9762500000000001,0.9763420833333333,0.00020484623516089484,5.776032825000107,0.8698046475248067,0.2568944976613419
2024-04-29 21:19:21.153152,EUR/CHF,0.97655,0.9762200000000001,0.976329333333333,0.00033800070194887265,15.680645580815462,0.8876495123734622,0.21050231683867077
2024-04-29 21:25:21.153152,EUR/CHF,0.97635,0.9761500000000001,0.9762313414634147,0.0002048694725372871,7.810634666675409,0.8974220135802369,0.21094370603420326
2024-04-29 21:31:21.153152,EUR/CHF,0.97645,0.97621,0.9762714285714286,0.0002458332723627981,11.511394568089381,0.8964610062790197,0.24538058189892695
