,pair,max,min,mean,vol,fd,correlation_with_BTC/USD,correlation_with_EUR/USD
2024-04-29 17:49:21.153152,GBP/USD,1.2563,1.25617,1.2562218644067797,0.00010348490476350117,0.0,,
2024-04-29 17:55:21.153152,GBP/USD,1.2564,1.2561,1.2562240833333336,0.0002388108968615938,40.005834758806465,,
2024-04-29 18:01:21.153152,GBP/USD,1.2564,1.2561,1.256175847457627,0.00023882006695729476,12.925150012962469,,
2024-04-29 18:07:21.153152,GBP/USD,1.2564,1.2562,1.2562945689655172,0.0001591983320955259,18.88451024010884,,
2024-04-29 18:13:21.153152,GBP/USD,1.2565,1.2562,1.2563728333333333,0.00023878262251502598,26.172803520115487,,
2024-04-29 18:19:21.153152,GBP/USD,1.2566,1.256,1.2562506666666668,0.0004776116868395165,11.279436103706308,,
2024-04-29 18:25:21.153152,GBP/USD,1.2562,1.256,1.256117033898305,0.0001592208326156414,10.343130488878968,,
2024-04-29 18:31:21.153152,GBP/USD,1.2562,1.256,1.2561127500000002,0.000159221375628882,27.822992300851773,,
2024-04-29 18:37:21.153152,GBP/USD,1.256235,1.256,1.2561239473684211,0.00018708344864558157,29.61218993617468,,
2024-04-29 18:43:21.153152,GBP/USD,1.2562,1.2559,1.2560661607142858,0.00023884092206525673,17.318474848829872,,
2024-04-29 18:49:21.153152,GBP/USD,1.2562,1.2559,1.256085625,0.00023883722098958575,17.194150111117214,,
2024-04-29 18:55:21.153152,GBP/USD,1.2561,1.2559,1.2560358771929827,0.00015923112040950812,19.343718624997102,,
2024-04-29 19:01:21.153152,GBP/USD,1.25625,1.256,1.2560733035714287,0.0001990329698826107,16.47919070877357,,
2024-04-29 19:07:21.153152,GBP/USD,1.2563,1.256,1.2561180909090912,0.0002388310479493594,12.527237747610549,,
2024-04-29 19:13:21.153152,GBP/USD,1.2562,1.256,1.2561079090909089,0.00015922198925148498,13.06362814545004,,
2024-04-29 19:19:21.153152,GBP/USD,1.2562,1.256,1.256133148148148,0.0001592187900580664,25.05935278636598,,
2024-04-29 19:25:21.153152,GBP/USD,1.2563,1.256,1.2561476363636364,0.00023882543047919357,16.45534424073316,,
2024-04-29 19:31:21.153152,GBP/USD,1.2564,1.2561,1.2562256363636366,0.00023881060162756198,12.366075620200217,,
2024-04-29 19:37:21.153152,GBP/USD,1.2564,1.2561,1.2562983333333335,0.0002387967826113226,12.925165991929855,,
2024-04-29 19:43:21.153152,GBP/USD,1.2564,1.256,1.256203035714286,0.0003184198641683055,10.322584638899276,,
2024-04-29 19:49:21.153152,GBP/USD,1.2562449999999998,1.256,1.2561167857142854,0.00019504555849121185,8.613963673480423,-0.4662656504253707,0.6091041890771983
2024-04-29 19:55:21.153152,GBP/USD,1.2563,1.2559,1.2560846296296295,0.0003184498803379995,14.791416027715728,-0.45734648605050887,0.6192151358275135
2024-04-29 20:01:21.153152,GBP/USD,1.2561,1.2558,1.2559385714285713,0.00023886518562665928,9.169417796301675,-0.41841060436192323,0.688867588166383
2024-04-29 20:07:21.153152,GBP/USD,1.255835,1.2553,1.2555307017543857,0.00042611462965611496,5.962773778369017,-0.27547877846090957,0.85603272141742
2024-04-29 20:13:21.153152,GBP/USD,1.25555,1.25538,1.2554704464285713,0.00013540740881922103,7.564934849488069,-0.12073384895452838,0.8968993444922726
2024-04-29 20:19:21.153152,GBP/USD,1.2557200000000002,1.2553899999999998,1.2555254464285714,0.0002628381614559014,12.353292093199583,0.0944248386981427,0.9083174742468512
2024-04-29 20:25:21.153152,GBP/USD,1.2559,1.25549,1.2556385416666667,0.00032652709071498366,6.644170137779127,0.2471179558009364,0.9225152890439415
2024-04-29 20:31:21.153152,GBP/USD,1.25611,1.2557,1.2559513888888887,0.0003264457554863959,6.169883613427171,0.39495167338499415,0.9320204085564748
2024-04-29 20:37:21.153152,GBP/USD,1.2561,1.2557,1.2559867924528303,0.00031847468652022333,5.9121614159881,0.612505871471911,0.9388591442970186
2024-04-29 20:43:21.153152,GBP/USD,1.256055,1.255715,1.2558419444444442,0.0002707347063092523,9.290608185352252,0.5750094516647214,0.9415681195414208
2024-04-29 20:49:21.153152,GBP/USD,1.2559,1.255465,1.2556625454545456,0.0003464306565284184,5.2984812260562615,0.31541005413714135,0.9389994612762584
2024-04-29 20:55:21.153152,GBP/USD,1.255735,1.2553,1.255547037037037,0.0003464625276218395,6.87470681511637,0.007456126505603354,0.9256297370463522
2024-04-29 21:01:21.153152,GBP/USD,1.2557,1.255305,1.255461568627451,0.0003146253217706886,5.144217163239298,-0.19710942679430704,0.8923850808462337
2024-04-29 21:07:21.153152,GBP/USD,1.2557,1.2553,1.2554871,0.000318601441623698,6.293199761726148,-0.2875794932868102,0.8305617444497441
2024-04-29 21:13:21.153152,GBP/USD,1.2554,1.2551,1.2552897872340427,0.0002389886407512319,6.947028619998724,-0.3763137139392341,0.7850165840143865
2024-04-29 21:19:21.153152,GBP/USD,1.2556,1.25532,1.2554605434782609,0.0002230257266582957,7.471963019256003,-0.4272208466371636,0.7599506572902515
2024-04-29 21:25:21.153152,GBP/USD,1.2557,1.2555,1.255565487804878,0.00015929077530606599,8.877899557447,-0.44861407238789325,0.7306003323928807
2024-04-29 21:31:21.153152,GBP/USD,1.25583,1.25539,1.2556467857142857,0.0003504170161592841,8.303853567079143,-0.465738356189403,0.7033842368207999
2024-04-29 21:37:21.153152,GBP/USD,1.25555,1.2552400000000001,1.255353409090909,0.00024694241299293043,6.002065280693305,-0.4521544617267542,0.6891239020644687
