,pair,max,min,mean,vol,fd,correlation_with_BTC/USD,correlation_with_EUR/USD,Forecastability
2024-04-29 19:49:21.153152,EUR/USD,1.0719500000000002,1.07159,1.0717055309734513,0.00033591316793255964,13.022505642743457,-0.9517788344447329,0.9999999999999999,UNDEFINED
2024-04-29 19:55:21.153152,EUR/USD,1.0719500000000002,1.07155,1.0717045327102803,0.0003732372009182424,11.610143252204804,-0.9378146804662744,1.0,UNDEFINED
2024-04-29 20:01:21.153152,EUR/USD,1.0717500000000002,1.0713499999999998,1.0715291592920355,0.0003732982873416921,8.921940234802719,-0.8742191641865377,1.0,UNDEFINED
2024-04-29 20:07:21.153152,EUR/USD,1.07145,1.0710350000000002,1.0711976785714286,0.00038741682165824407,8.404403406004436,-0.654925303696065,1.0,UNDEFINED
2024-04-29 20:13:21.153152,EUR/USD,1.0713499999999998,1.071145,1.0712063157894733,0.00019137303148619394,18.131350657008475,-0.46756474203642684,0.9999999999999999,UNDEFINED
2024-04-29 20:19:21.153152,EUR/USD,1.07145,1.0711849999999998,1.0712823636363635,0.00024736708919641416,14.986043258149175,-0.2493548609639761,1.0,UNDEFINED
2024-04-29 20:25:21.153152,EUR/USD,1.07155,1.071215,1.0713368877551022,0.0003126934242896639,15.856547742230983,-0.06093663196558778,1.0,UNDEFINED
2024-04-29 20:31:21.153152,EUR/USD,1.0717500000000002,1.0714299999999999,1.07159,0.0002986216743346989,7.77518748762414,0.12415515607113274,0.9999999999999999,UNDEFINED
2024-04-29 20:37:21.153152,EUR/USD,1.07185,1.07155,1.0716604245283021,0.0002799394221653877,18.574226666668693,0.3816220156687807,0.9999999999999999,UNDEFINED
2024-04-29 20:43:21.153152,EUR/USD,1.0717500000000002,1.071545,1.0716092990654205,0.00019130106483680092,18.40119363091215,0.4248501051709148,1.0,UNDEFINED
2024-04-29 20:49:21.153152,EUR/USD,1.0717500000000002,1.0713499999999998,1.071535681818182,0.00037329601504420266,11.892249538387155,0.3562517773667525,0.9999999999999999,UNDEFINED
2024-04-29 20:55:21.153152,EUR/USD,1.07185,1.07125,1.0715272222222223,0.0005599484432654954,6.295272130677005,0.2638377584405812,1.0,UNDEFINED
2024-04-29 21:01:21.153152,EUR/USD,1.07168,1.0713499999999998,1.0715362871287128,0.00030796903843959505,6.115281621779271,0.21696928475433952,1.0,UNDEFINED
2024-04-29 21:07:21.153152,EUR/USD,1.07185,1.07141,1.071635,0.00041058756013007786,8.840912341466536,0.24927365876362984,1.0,UNDEFINED
2024-04-29 21:13:21.153152,EUR/USD,1.0717500000000002,1.07144,1.0715124479166667,0.0002893106847269811,11.03061246333804,0.2217357622537031,1.0,UNDEFINED
2024-04-29 21:19:21.153152,EUR/USD,1.0717500000000002,1.07145,1.0715550555555557,0.00027996694938334433,13.365101500882359,0.20800226344976425,0.9999999999999999,UNDEFINED
2024-04-29 21:25:21.153152,EUR/USD,1.07185,1.0715750000000002,1.0716180487804883,0.0002566212843398409,13.144408681492584,0.22674816255580305,1.0,UNDEFINED
2024-04-29 21:31:21.153152,EUR/USD,1.0719500000000002,1.0714350000000001,1.0716355294117643,0.00048057383864711343,12.409204589596351,0.2445472786201237,1.0,UNDEFINED
2024-04-29 21:37:21.153152,EUR/USD,1.07165,1.0711499999999998,1.0713482954545455,0.0004667016339331831,5.9845121991965025,0.2752161210966233,1.0,UNDEFINED
2024-04-29 21:43:21.153152,EUR/USD,1.07145,1.0711499999999998,1.0712306043956044,0.0002800517449456656,5.785280795448174,0.3055817309528128,1.0,UNDEFINED
2024-04-29 21:49:21.153152,EUR/USD,1.0713499999999998,1.07105,1.0711448888888888,0.00028007415533760183,10.307618926726207,0.33917379855296553,1.0,UNDEFINED
