,pair,max,min,mean,vol,fd,correlation_with_BTC/USD,correlation_with_EUR/USD
2024-04-29 17:49:21.153152,USD/CAD,1.3663500000000002,1.36613,1.3662444067796609,0.00016102536186674335,0.0,,
2024-04-29 17:55:21.153152,USD/CAD,1.36645,1.36618,1.3662489166666665,0.00019762138268239614,19.734641431253124,,
2024-04-29 18:01:21.153152,USD/CAD,1.36645,1.36595,1.3661906779661017,0.00036598112405825616,16.21282047778106,,
2024-04-29 18:07:21.153152,USD/CAD,1.3663500000000002,1.36595,1.3660204237288134,0.0002928213905530795,10.137134830502326,,
2024-04-29 18:13:21.153152,USD/CAD,1.3663500000000002,1.3659599999999998,1.3660522033898304,0.00028549421393454625,8.108557130584282,,
2024-04-29 18:19:21.153152,USD/CAD,1.3665500000000002,1.366045,1.3662474999999998,0.000369625561986536,10.542774050018618,,
2024-04-29 18:25:21.153152,USD/CAD,1.3665500000000002,1.36615,1.3663011666666667,0.0002927612226051513,10.28067425742558,,
2024-04-29 18:31:21.153152,USD/CAD,1.3665500000000002,1.36615,1.3663045833333334,0.00029276049050813377,9.632423224995371,,
2024-04-29 18:37:21.153152,USD/CAD,1.3665500000000002,1.366235,1.366334642857143,0.00023054381417232355,12.795550859784871,,
2024-04-29 18:43:21.153152,USD/CAD,1.36665,1.3663500000000002,1.3664730357142858,0.0002195433002766339,16.193595767221094,,
2024-04-29 18:49:21.153152,USD/CAD,1.36665,1.36634,1.3664526785714288,0.00022686479002251503,13.400251705077316,,
2024-04-29 18:55:21.153152,USD/CAD,1.3667500000000001,1.36645,1.366577894736842,0.00021952645447843947,23.920268394783456,,
2024-04-29 19:01:21.153152,USD/CAD,1.36685,1.36625,1.3665354464285715,0.0004390665471342355,11.448885918119485,,
2024-04-29 19:07:21.153152,USD/CAD,1.3665500000000002,1.36625,1.3664191071428573,0.00021955196500982797,9.656850488094143,,
2024-04-29 19:13:21.153152,USD/CAD,1.3667500000000001,1.3663500000000002,1.3664906481481485,0.00029272062750084025,10.976900160717785,,
2024-04-29 19:19:21.153152,USD/CAD,1.3667500000000001,1.366445,1.366533703703704,0.00022319244609451125,14.941791185483924,,
2024-04-29 19:25:21.153152,USD/CAD,1.3667500000000001,1.366425,1.3665059090909089,0.00023783285373156013,16.3501535696438,,
2024-04-29 19:31:21.153152,USD/CAD,1.36665,1.36625,1.3664709999999995,0.0002927248364582608,12.340599517491599,,
2024-04-29 19:37:21.153152,USD/CAD,1.3665500000000002,1.36634,1.3664031481481484,0.00015368817049686337,11.972888761886678,,
