,pair,max,min,mean,vol,fd,correlation_with_BTC/USD,correlation_with_EUR/USD
2024-04-29 17:49:21.153152,USD/JPY,156.316,156.2995,156.30922881355932,0.00010555998596658939,0.0,,
2024-04-29 17:55:21.153152,USD/JPY,156.3295,156.2995,156.31433050847454,0.00019192098320361417,17.683468310202986,,
2024-04-29 18:01:21.153152,USD/JPY,156.3225,156.1485,156.292725,0.0011132955804563404,3.527553282357318,,
2024-04-29 18:07:21.153152,USD/JPY,156.197,156.125,156.15760344827586,0.0004610726497467753,1.6941692253353313,,
2024-04-29 18:13:21.153152,USD/JPY,156.136,156.071,156.10697500000003,0.00041638113863905,2.9963574336878334,,
2024-04-29 18:19:21.153152,USD/JPY,156.225,156.07600000000002,156.14869491525423,0.0009542186701005633,1.9213166153855985,,
2024-04-29 18:25:21.153152,USD/JPY,156.272,156.221,156.24876666666668,0.0003264025764042578,2.8973504386193705,,
2024-04-29 18:31:21.153152,USD/JPY,156.2595,156.232,156.24830000000003,0.0001760019149008559,10.494569568632556,,
2024-04-29 18:37:21.153152,USD/JPY,156.253,156.15699999999998,156.2018245614035,0.0006145894919573471,7.445468234847503,,
2024-04-29 18:43:21.153152,USD/JPY,156.235,156.199,156.21788181818184,0.00023044736992337971,2.8564685510061825,,
2024-04-29 18:49:21.153152,USD/JPY,156.29700000000003,156.21,156.24784210526317,0.0005568076898073649,7.461748122599515,,
2024-04-29 18:55:21.153152,USD/JPY,156.311,156.272,156.29469642857143,0.00024952862055584315,4.80762591093186,,
2024-04-29 19:01:21.153152,USD/JPY,156.305,156.221,156.27075,0.0005375286161997891,6.364381106094309,,
2024-04-29 19:07:21.153152,USD/JPY,156.228,156.192,156.20541964285712,0.00023046575517232735,3.9481102182531322,,
2024-04-29 19:13:21.153152,USD/JPY,156.239,156.175,156.21296363636364,0.0004096971116236788,7.023820084640944,,
2024-04-29 19:19:21.153152,USD/JPY,156.27499999999998,156.223,156.24797222222224,0.0003328043190602663,3.7926705113639727,,
2024-04-29 19:25:21.153152,USD/JPY,156.27499999999998,156.235,156.24487272727274,0.00025600840079907194,5.017963723290991,,
2024-04-29 19:31:21.153152,USD/JPY,156.237,156.197,156.2169074074074,0.00025605423038924753,8.945018963646802,,
2024-04-29 19:37:21.153152,USD/JPY,156.27249999999998,156.21,156.24216363636367,0.000400020062096896,4.861470158523952,,
2024-04-29 19:43:21.153152,USD/JPY,156.35500000000002,156.2365,156.2875267857143,0.0007582178977244092,2.3543122986424465,,
2024-04-29 19:49:21.153152,USD/JPY,156.38850000000002,156.33249999999998,156.36230357142858,0.0003581425875735989,3.0993728940613154,0.10448540517193103,-0.21634705077656227
2024-04-29 19:55:21.153152,USD/JPY,156.37349999999998,156.2935,156.33478703703702,0.0005117223205161076,4.851419686701448,0.2427025530998027,-0.3822661397918755
2024-04-29 20:01:21.153152,USD/JPY,156.339,156.228,156.30761607142858,0.0007101381416326242,2.612621891475429,0.40117128791526047,-0.5971902798179991
2024-04-29 20:07:21.153152,USD/JPY,156.368,156.19400000000002,156.2905357142857,0.001113311175272104,1.935838343393207,0.5404103383811426,-0.6928179675025722
2024-04-29 20:13:21.153152,USD/JPY,156.425,156.32799999999997,156.37551754385962,0.0006203017040236535,1.4149303150333894,0.40554154772133594,-0.7285810469169158
2024-04-29 20:19:21.153152,USD/JPY,156.4205,156.3185,156.37129464285712,0.0006522936337706092,2.7374408367281458,0.12447934718620159,-0.7153354145044285
2024-04-29 20:25:21.153152,USD/JPY,156.438,156.368,156.39916666666667,0.00044757271724589227,2.255776379301795,-0.1536164635790184,-0.712230055654827
2024-04-29 20:31:21.153152,USD/JPY,156.3965,156.337,156.36812962962964,0.0003805123214106646,5.009279431771808,-0.22454378911309283,-0.6996188405242196
2024-04-29 20:37:21.153152,USD/JPY,156.52249999999998,156.3445,156.4063679245283,0.0011380610800057723,1.8957291893528432,-0.3072133175771637,-0.6380675230872401
2024-04-29 20:43:21.153152,USD/JPY,156.635,156.535,156.592,0.000638602227444533,1.4410474348103828,-0.03719974492700778,-0.4550367860599229
2024-04-29 20:49:21.153152,USD/JPY,156.7375,156.57150000000001,156.66349090909088,0.0010595959469352292,1.7602450120477768,0.32478598284690313,-0.3850353741959211
2024-04-29 20:55:21.153152,USD/JPY,156.83100000000002,156.688,156.77135185185185,0.0009121564514871531,1.2249028525037613,0.6061365545628565,-0.33430630130948874
2024-04-29 21:01:21.153152,USD/JPY,156.837,156.70850000000002,156.79411,0.0008195460913676801,1.6192866905109295,0.7283135604707437,-0.3095145578603329
2024-04-29 21:07:21.153152,USD/JPY,156.813,156.663,156.76094999999998,0.0009568709554259354,0.9631347664857693,0.7730449507672391,-0.23908175433619333
2024-04-29 21:13:21.153152,USD/JPY,156.84699999999998,156.79250000000002,156.81691666666666,0.0003475390357011556,2.193694517431983,0.8099683262059294,-0.21845084920259858
2024-04-29 21:19:21.153152,USD/JPY,156.796,156.6975,156.7471555555555,0.0006284005578977811,3.727441636785608,0.8526671653987044,-0.1881339095087502
2024-04-29 21:25:21.153152,USD/JPY,156.739,156.6725,156.7079756097561,0.00042435619336691,2.493500799037711,0.8732187320903231,-0.13522356111536882
2024-04-29 21:31:21.153152,USD/JPY,156.733,156.64,156.67101162790698,0.0005936005584804186,2.787270970503067,0.898492615851768,-0.06956422822008546
2024-04-29 21:37:21.153152,USD/JPY,156.7845,156.7355,156.75607954545455,0.0003125875573189368,3.713072033312993,0.8926271691993922,-0.033535804934008845
